"code","parameter","unit","product","element","method1","method2","data_type","value_min","value_max","explanation","enum","options"
"A_CLAY_MI","Clay content","%","A","CLAY","MI","","num",0.1,75,"",FALSE,""
"A_C_OF","Organic Carbon Content","g / kg","A","C","OF","","num",0.1,600,"",FALSE,""
"A_DENSITY_SA","Dry bulk density","g/cm3","A","DENSITY","SA","","num",0.5,3,"",FALSE,""
"A_DEPTH","Depth to which soil sample was taken","m","A","DEPTH","","","num",0.01,2,"",FALSE,""
"A_SOM_LOI","Organic matter content","%","A","SOM","LOI","","num",0.5,75,"",FALSE,""
"B_C_AMENDMENT","Organic carbon input on field level from amendments","kg C/ha","B","C","AMENDMENT","","num",0,2e+05,"",FALSE,""
"B_C_CULT","Organic carbon input on field level from cultivated plants","kg C/ha","B","C","CULT","","num",0,2e+05,"",FALSE,""
"B_C_OF_INPUT","The organic carbon input on field level","kg C/ha","B","C","OF","INPUT","num",0,20000,"",FALSE,""
"B_C_ST03","Carbon stock for the soil layer 0-30 cm","Mg C/ha","B","C","ST03","","num",0.1,3000,"",FALSE,""
"B_DEPTH","Depth of the cultivated soil layer","m","B","DEPTH","","","num",0.01,2,"",FALSE,""
"B_LU_HC","Humification coefficient of crop organic matter","unitless","B","LU","HC","","num",0,1,"",FALSE,""
"B_LU_HI","Biomass fraction of the commercially valuable harvestable product of the total biomass produced","-","B","LU","HI","","num",0.01,1,"",FALSE,""
"B_LU_HI_RES","Biomass fraction of crop residue of the total biomass produced","-","B","LU","HI","RES","num",0,1,"",FALSE,""
"B_LU_RS_FR","Root-to-shoot ratio of plant","unitless","B","LU","RS","FR","num",0,1,"",FALSE,""
"B_LU_YIELD","Mean crop yield in kg dry matter per hectare","kg /ha","B","LU","YIELD","","num",0,150000,"crop yield is in kg dry matter per ha",FALSE,""
"P_C_OF","Organic carbon content of product","g C/kg","P","C","OF","","num",0,1000,"",FALSE,""
"P_DOSE","Dose for soil amendment product","kg / ha","P","DOSE","","","num",0,250000,"",FALSE,""
"P_HC","Hummification coeficient","unitless","P","HC","","","num",0,1,"",FALSE,""
"W_ET_ACT_MONTH","Monthly sum of actual evapotranspiration","mm","W","ET","ACT","MONTH","num",0,10000,"",FALSE,""
"W_ET_REFACT","Factor to recalculate reference to actual evapotranspiration","unitless","W","ET","REFACT","","num",0.3,2,"",FALSE,""
"W_ET_REF_MONTH","Monthly sum of reference evapotranspiration","mm","W","ET","REF","MONTH","num",0,10000,"",FALSE,""
"W_PREC_SUM_MONTH","Sum of monthly precipitation","mm","W","PREC","SUM","MONTH","num",0,10000,"",FALSE,""
"W_TEMP_MEAN_MONTH","Mean monthly air temperature at 2m","°C","W","TEMP","MEAN","MONTH","num",-30,50,"",FALSE,""
